date	tag	slug	title	angle
2026-08-28	Operations	handover-documentation	The Handover File You Leave Behind	What documents the client actually needs, and why the baseline is the valuable part.
2026-08-29	Operations	training-a-team-to-run-the-machine	Training a Team to Run the Machine	Not barista training. Escalation rules, daily routine, and what staff must never do.
2026-08-30	Operations	reading-an-installation-manual	Reading a Manufacturer's Installation Manual Properly	Where the real constraints hide, and which figures are non-negotiable.
2026-08-31	Operations	distributor-and-parts-relationships	Distributors and Parts Supply	Lead times, obsolescence, and why the relationship is a technical asset.
2026-09-01	Water	reading-a-municipal-water-report	Reading a Municipal Water Report	It is an annual average taken upstream of your building. What it can and cannot tell you.
2026-09-02	Water	taking-a-water-sample-properly	How to Take a Water Sample Properly	Flush time, container, timing and labelling. A bad sample is worse than none.
2026-09-03	Water	titration-strips-and-meters	Titration, Strips and Meters: What Each Measures	Why a drop test beats a pen for the number that matters.
2026-09-04	Water	hardness-versus-alkalinity	Total Hardness, Calcium Hardness and Alkalinity	Three numbers routinely conflated, with different consequences.
2026-09-05	Water	how-scale-actually-forms	Carbonate Chemistry: How Scale Actually Forms	Bicarbonate decomposition, and why the hottest surface always loses.
2026-09-06	Water	saturation-indices-in-practice	Saturation Indices in Practice	Langelier and friends: useful framing, limited field tool.
2026-09-07	Water	chloride-and-pitting-corrosion	Chloride and Pitting Corrosion	The ion nobody tests, and the failure it causes in stainless.
2026-09-08	Water	sulphate-silica-and-minor-ions	Sulphate, Silica and the Minor Ions	What else is in there, and when it matters.
2026-09-09	Water	chlorine-versus-chloramine	Chlorine versus Chloramine	Different problems, different media, different contact times.
2026-09-10	Water	carbon-media-and-contact-time	Carbon Media and Contact Time	Granular, catalytic and block: sizing for removal rather than hope.
2026-09-11	Water	sediment-prefiltration	Sediment Prefiltration and Micron Ratings	Protecting everything downstream, including the pump.
2026-09-12	Water	ion-exchange-softeners	Ion Exchange Softeners: Why Not for Espresso	They stop scale and ruin the coffee. The chemistry of why.
2026-09-13	Water	weak-acid-cation-cartridges	Weak Acid Cation Cartridges Explained	How WAC resin removes alkalinity rather than trading it for sodium.
2026-09-14	Water	dealkalisation-options-compared	Dealkalisation Options Compared	WAC, RO, blending and dosing, with costs and failure modes.
2026-09-15	Water	reverse-osmosis-fundamentals	Reverse Osmosis: Membranes, Recovery and Reject	What an RO plant actually does, and what it wastes.
2026-09-16	Water	ro-blending-valves	RO Blending Valves: Setting and Verifying	The valve everyone sets once and never checks.
2026-09-17	Water	remineralisation-methods	Remineralisation: Cartridges versus Dosing	Rebuilding water you deliberately stripped.
2026-09-18	Water	sizing-a-filter-for-peak-flow	Sizing a Filter for Peak Flow	Capacity and flow rate are different specifications.
2026-09-19	Water	calculating-cartridge-life	Calculating Cartridge Life from Real Volume	Litres, not months. How to get the number.
2026-09-20	Water	fitting-and-reading-a-water-meter	Fitting and Reading a Water Meter	The cheapest instrument that ends an argument.
2026-09-21	Water	what-bypass-settings-do	What Bypass Settings Actually Do	Blending untreated water back in, and how to verify the result.
2026-09-22	Water	filter-head-plumbing	Filter Head Plumbing and Service Clearance	If the cartridge cannot be changed easily, it will not be changed.
2026-09-23	Water	flushing-a-new-cartridge	Flushing a New Cartridge Properly	Why the run-in volume exists and what happens if you skip it.
2026-09-24	Water	backflow-prevention-types	Backflow Prevention Types and Code	Devices, requirements, and the inspection that finds them.
2026-09-25	Water	thermal-expansion-and-vessels	Thermal Expansion and Expansion Vessels	Closing a system with a check valve, and the pressure spike that follows.
2026-09-26	Water	pressure-regulation-and-gauges	Pressure Regulation and Gauges	Setting inlet pressure, and reading it without pulling a panel.
2026-09-27	Water	water-hammer-causes-and-cures	Water Hammer: Causes and Cures	Fast-closing solenoids, long runs, and how to stop the banging.
2026-09-28	Water	seasonal-water-variation	Seasonal Water Variation and Re-testing	Supplies drift. Blended sources drift further.
2026-09-29	Water	one-supply-two-targets	One Supply, Two Targets: Espresso and Filter	When to split treatment, and when not to bother.
2026-09-30	Water	building-a-water-log	Building a Water Log	The record that wins a warranty claim.
